"No.","Time","Source","Destination","Protocol","Length","Info"
"23","1.208338","Cisco_10:84:4f","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x800f"
"24","1.208703","Cisco_10:84:50","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8010"
"25","1.209094","Cisco_10:84:51","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8011"
"26","1.209486","Cisco_10:84:52","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8012"
"27","1.210121","Cisco_10:84:54","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8014"
"28","1.210516","Cisco_10:84:55","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8015"
"29","1.210908","Cisco_10:84:56","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8016"
"30","1.211299","Cisco_10:84:57","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8017"
"31","1.211696","Cisco_10:84:58","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8018"
"32","1.251511","200.57.7.206","200.57.7.197","TCP","54","1219  >  23 [ACK] Seq=1 Ack=2693 Win=16937 Len=0"
"33","1.267865","200.57.7.204","64.69.76.21","TCP","62","[TCP Retransmission] 4554  >  13840 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"34","1.360798","64.69.76.21","200.57.7.204","TCP","60","13840  >  4554 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"35","1.769477","200.57.7.204","64.69.76.21","TCP","62","[TCP Retransmission] 4554  >  13840 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"36","1.863577","64.69.76.21","200.57.7.204","TCP","60","13840  >  4554 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"37","2.560740","200.57.7.204","200.57.7.194","TCP","62","4555  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"38","2.560900","200.57.7.194","200.57.7.204","TCP","62","80  >  4555 [SYN, ACK] Seq=0 Ack=1 Win=17520 Len=0 MSS=1460 SACK_PERM=1"
"39","2.561132","200.57.7.204","200.57.7.194","TCP","60","4555  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"40","2.562025","200.57.7.204","200.57.7.194","HTTP","325","GET /cems/META-INF/services/javax.xml.parsers.SAXParserFactory HTTP/1.1 "
"41","2.563727","200.57.7.194","200.57.7.204","HTTP","1432","HTTP/1.1 403 Forbidden  (text/html)"
"42","2.565820","200.57.7.204","200.57.7.194","TCP","62","4556  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"43","2.566231","200.57.7.194","200.57.7.204","TCP","62","80  >  4556 [SYN, ACK] Seq=0 Ack=1 Win=17520 Len=0 MSS=1460 SACK_PERM=1"
"44","2.566458","200.57.7.204","200.57.7.194","TCP","60","4556  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"45","2.567761","200.57.7.204","200.57.7.194","TCP","408","4556  >  80 [PSH, ACK] Seq=1 Ack=1 Win=17520 Len=354 [TCP segment of a reassembled PDU]"
"46","2.568059","200.57.7.204","200.57.7.194","HTTP","346","POST /cems/applets/serviceRouter HTTP/1.1  (application/x-www-form-urlencoded)"
"47","2.568212","200.57.7.194","200.57.7.204","HTTP","79","HTTP/1.1 100 Continue "
"48","2.570814","200.57.7.194","200.57.7.197","SNMP","102","get-request 1.3.6.1.4.1.2858.100.40.7.2.2.1.4.1"
"49","2.576773","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.7.2.2.1.4.0"
"50","2.577121","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.1"
"51","2.581485","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.1"
"52","2.581931","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.2"
"53","2.587012","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.2"
"54","2.587521","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.3"
"55","2.591682","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.3"
"56","2.592183","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.4"
"57","2.597176","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.4"
"58","2.597495","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.5"
"59","2.601640","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.5"
"60","2.602114","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.6"
"61","2.607066","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.6"
"62","2.607464","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.7"
"63","2.611628","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.7"
"64","2.612082","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.8"
"65","2.617114","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.8"
"66","2.617436","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.9"
"67","2.621580","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.9"
"68","2.622056","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.10"
"69","2.627296","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.10"
"70","2.627659","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.11"
"71","2.632135","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.11"
"72","2.632523","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.12"
"73","2.637487","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.12"
"74","2.637864","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.13"
"75","2.642277","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.13"
"76","2.642733","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.14"
"77","2.647754","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.14"
"78","2.648074","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.15"
"79","2.652480","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.15"
"80","2.652937","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.16"
"81","2.657936","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.16"
"82","2.658290","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.17"
"83","2.662704","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.17"
"84","2.663152","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.18"
"85","2.668175","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.18"
"86","2.668503","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.19"
"87","2.672328","200.57.7.204","200.57.7.194","TCP","60","4555  >  80 [ACK] Seq=272 Ack=1379 Win=16142 Len=0"
"88","2.672394","200.57.7.204","200.57.7.194","TCP","60","4556  >  80 [ACK] Seq=647 Ack=26 Win=17495 Len=0"
"89","2.672935","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.19"
"90","2.673365","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.20"
"91","2.678382","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.20"
"92","2.678730","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.21"
"93","2.683130","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.21"
"94","2.683584","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.22"
"95","2.688546","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.22"
"96","2.688929","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.23"
"97","2.693322","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.23"
"98","2.693804","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.24"
"99","2.698841","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.24"
"100","2.699146","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.25"
"101","2.703522","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.25"
"102","2.704015","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.26"
"103","2.708860","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.26"
"104","2.709358","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.27"
"105","2.713569","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.27"
"106","2.713985","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.28"
"107","2.714047","200.57.7.194","200.57.7.204","TCP","60","80  >  4556 [ACK] Seq=26 Ack=647 Win=16874 Len=0"
"108","2.718849","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.28"
"109","2.719340","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.29"
"110","2.723563","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.29"
"111","2.723958","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.30"
"112","2.728775","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.30"
"113","2.729311","200.57.7.194","200.57.7.197","SNMP","101","get-request 1.3.6.1.4.1.2858.100.40.5.3.1.4.31"
"114","2.733510","200.57.7.197","200.57.7.194","SNMP","97","get-response 1.3.6.1.4.1.2858.100.40.5.3.1.4.31"
"115","2.742886","200.57.7.194","200.57.7.204","TCP","1514","80  >  4556 [ACK] Seq=26 Ack=647 Win=16874 Len=1460 [TCP segment of a reassembled PDU]"
"116","2.744095","200.57.7.194","200.57.7.204","TCP","1514","80  >  4556 [ACK] Seq=1486 Ack=647 Win=16874 Len=1460 [TCP segment of a reassembled PDU]"
"117","2.744839","200.57.7.194","200.57.7.204","TCP","912","80  >  4556 [PSH, ACK] Seq=2946 Ack=647 Win=16874 Len=858 [TCP segment of a reassembled PDU]"
"118","2.744977","200.57.7.204","200.57.7.194","TCP","60","4556  >  80 [ACK] Seq=647 Ack=2946 Win=17520 Len=0"
"119","2.746176","200.57.7.194","200.57.7.204","HTTP","1238","HTTP/1.1 200 OK "
"120","2.746383","200.57.7.204","200.57.7.194","TCP","60","4556  >  80 [ACK] Seq=647 Ack=4988 Win=17520 Len=0"
"121","2.749000","200.57.7.204","200.57.7.194","HTTP","325","GET /cems/META-INF/services/javax.xml.parsers.SAXParserFactory HTTP/1.1 "
"122","2.750728","200.57.7.194","200.57.7.204","HTTP","1432","HTTP/1.1 403 Forbidden  (text/html)"
"123","2.873004","200.57.7.204","200.57.7.194","TCP","60","4556  >  80 [ACK] Seq=918 Ack=6366 Win=16142 Len=0"
"124","3.211660","Cisco_10:84:4f","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x800f"
"125","3.212021","Cisco_10:84:50","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8010"
"126","3.212427","Cisco_10:84:51","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8011"
"127","3.212824","Cisco_10:84:52","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8012"
"128","3.213444","Cisco_10:84:54","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8014"
"129","3.213836","Cisco_10:84:55","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8015"
"130","3.214250","Cisco_10:84:56","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8016"
"131","3.214624","Cisco_10:84:57","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8017"
"132","3.215013","Cisco_10:84:58","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:b0:64:10:84:40  Cost = 0  Port = 0x8018"
"133","3.698649","200.57.7.195","200.57.7.194","UDP","398","5002  >  5001 Len=356"
"134","3.699942","200.57.7.194","200.57.7.195","UDP","429","5001  >  5002 Len=387"
"135","3.756415","200.57.7.204","200.57.7.195","H.225.0","156","RAS: registrationRequest "
"136","3.759000","200.57.7.195","200.57.7.204","H.225.0","97","RAS: registrationReject "
"137","3.761913","200.57.7.204","200.57.7.195","H.225.0","159","RAS: registrationRequest "
"138","3.764757","200.57.7.195","200.57.7.194","UDP","394","5002  >  5001 Len=352"
"139","3.765698","200.57.7.194","200.57.7.195","UDP","413","5001  >  5002 Len=371"
"140","3.768461","200.57.7.195","200.57.7.204","H.225.0","100","RAS: registrationConfirm "
"141","3.878413","200.57.7.198","200.57.7.197","TCP","60","2906  >  32891 [PSH, ACK] Seq=1 Ack=39 Win=32120 Len=4"
"142","3.879648","200.57.7.197","200.57.7.198","TCP","97","32891  >  2906 [PSH, ACK] Seq=39 Ack=5 Win=24820 Len=4"
"143","3.898351","200.57.7.198","200.57.7.197","TCP","60","2906  >  32891 [ACK] Seq=5 Ack=43 Win=32120 Len=0"
"144","3.971647","200.57.7.204","200.57.7.194","TCP","60","4556  >  80 [FIN, ACK] Seq=918 Ack=6366 Win=16142 Len=0"
"145","3.971744","200.57.7.204","200.57.7.194","TCP","60","4555  >  80 [FIN, ACK] Seq=272 Ack=1379 Win=16142 Len=0"
"146","3.971906","200.57.7.194","200.57.7.204","TCP","60","80  >  4556 [ACK] Seq=6366 Ack=919 Win=16603 Len=0"
"147","3.972000","200.57.7.194","200.57.7.204","TCP","60","80  >  4556 [FIN, ACK] Seq=6366 Ack=919 Win=16603 Len=0"
"148","3.972139","200.57.7.194","200.57.7.204","TCP","60","80  >  4555 [ACK] Seq=1379 Ack=273 Win=17249 Len=0"
"149","3.972209","200.57.7.204","200.57.7.194","TCP","60","4556  >  80 [ACK] Seq=919 Ack=6367 Win=16142 Len=0"
"150","3.972274","200.57.7.194","200.57.7.204","TCP","60","80  >  4555 [FIN, ACK] Seq=1379 Ack=273 Win=17249 Len=0"
"151","3.972464","200.57.7.204","200.57.7.194","TCP","60","4555  >  80 [ACK] Seq=273 Ack=1380 Win=16142 Len=0"
"152","4.056633","200.57.7.205","200.57.7.195","SIP","460","Request: REGISTER sip:Verso.com  (1 binding) | "
"153","4.072335","200.57.7.195","200.57.7.205","SIP","514","Status: 200 OK  (1 binding) | "
"154","4.289382","200.57.7.204","200.57.7.194","TCP","62","4557  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"155","4.289763","200.57.7.194","200.57.7.204","TCP","62","80  >  4557 [SYN, ACK] Seq=0 Ack=1 Win=17520 Len=0 MSS=1460 SACK_PERM=1"
"156","4.289988","200.57.7.204","200.57.7.194","TCP","60","4557  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"157","4.290654","200.57.7.204","200.57.7.194","HTTP","325","GET /cems/META-INF/services/javax.xml.parsers.SAXParserFactory HTTP/1.1 "
"158","4.292315","200.57.7.194","200.57.7.204","HTTP","1432","HTTP/1.1 403 Forbidden  (text/html)"
"159","4.296302","200.57.7.204","200.57.7.194","TCP","62","4558  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"160","4.296563","200.57.7.194","200.57.7.204","TCP","62","80  >  4558 [SYN, ACK] Seq=0 Ack=1 Win=17520 Len=0 MSS=1460 SACK_PERM=1"
"161","4.296782","200.57.7.204","200.57.7.194","TCP","60","4558  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"162","4.297942","200.57.7.204","200.57.7.194","TCP","408","4558  >  80 [PSH, ACK] Seq=1 Ack=1 Win=17520 Len=354 [TCP segment of a reassembled PDU]"
"163","4.298140","200.57.7.204","200.57.7.194","HTTP","214","POST /cems/applets/serviceRouter HTTP/1.1  (application/x-www-form-urlencoded)"
"164","4.298378","200.57.7.194","200.57.7.204","HTTP","79","HTTP/1.1 100 Continue "
"165","4.301537","200.57.7.194","200.57.7.197","SNMP","211","get-request 1.3.6.1.4.1.2858.100.40.3.1.0 1.3.6.1.4.1.2858.100.40.2.2.0 1.3.6.1.4.1.2858.100.40.3.2.0 1.3.6.1.4.1.2858.100.40.7.1.1.0 1.3.6.1.4.1.2858.100.40.7.2.1.0 1.3.6.1.4.1.2858.100.40.5.1.0"
"166","4.316410","200.57.7.197","200.57.7.199","UDP","97","2428  >  2424 Len=12"
"167","4.317320","200.57.7.199","200.57.7.197","UDP","102","2424  >  2428 Len=60"
"168","4.327461","200.57.7.197","200.57.7.194","SNMP","214","get-response 1.3.6.1.4.1.2858.100.40.3.1.0 1.3.6.1.4.1.2858.100.40.2.2.0 1.3.6.1.4.1.2858.100.40.3.2.0 1.3.6.1.4.1.2858.100.40.7.1.1.0 1.3.6.1.4.1.2858.100.40.7.2.1.0 1.3.6.1.4.1.2858.100.40.5.1.0"
"169","4.328146","200.57.7.194","200.57.7.197","SNMP","177","get-request 1.3.6.1.4.1.2858.100.40.7.1.2.1.2.1 1.3.6.1.4.1.2858.100.40.7.1.2.1.3.1 1.3.6.1.4.1.2858.100.40.7.1.2.1.6.1 1.3.6.1.4.1.2858.100.40.7.1.2.1.4.1"
"170","4.343342","200.57.7.197","200.57.7.194","SNMP","161","get-response 1.3.6.1.4.1.2858.100.40.7.1.2.1.2.0 1.3.6.1.4.1.2858.100.40.7.1.2.1.3.0 1.3.6.1.4.1.2858.100.40.7.1.2.1.6.0 1.3.6.1.4.1.2858.100.40.7.1.2.1.4.0"
"171","4.343783","200.57.7.194","200.57.7.197","SNMP","127","get-request 1.3.6.1.4.1.2858.100.40.7.2.2.1.4.1 1.3.6.1.4.1.2858.100.40.7.2.2.1.2.1"
"172","4.352661","200.57.7.197","200.57.7.194","SNMP","114","get-response 1.3.6.1.4.1.2858.100.40.7.2.2.1.4.0 1.3.6.1.4.1.2858.100.40.7.2.2.1.2.0"
"173","4.356022","200.57.7.194","200.57.7.204","TCP","1403","80  >  4558 [PSH, ACK] Seq=26 Ack=515 Win=17006 Len=1349 [TCP segment of a reassembled PDU]"
"174","4.356084","200.57.7.194","200.57.7.204","HTTP","60","HTTP/1.1 200 OK "
"175","4.356255","200.57.7.204","200.57.7.194","TCP","60","4558  >  80 [ACK] Seq=515 Ack=1375 Win=16146 Len=0"
"176","4.358538","200.57.7.204","200.57.7.194","HTTP","325","GET /cems/META-INF/services/javax.xml.parsers.SAXParserFactory HTTP/1.1 "
"177","4.360184","200.57.7.194","200.57.7.204","HTTP","1432","HTTP/1.1 403 Forbidden  (text/html)"
"178","4.369460","200.57.7.204","200.57.7.194","TCP","62","4559  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"179","4.369779","200.57.7.194","200.57.7.204","TCP","62","80  >  4559 [SYN, ACK] Seq=0 Ack=1 Win=17520 Len=0 MSS=1460 SACK_PERM=1"
"180","4.370011","200.57.7.204","200.57.7.194","TCP","60","4559  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"181","4.370712","200.57.7.204","200.57.7.194","HTTP","325","GET /cems/META-INF/services/javax.xml.parsers.SAXParserFactory HTTP/1.1 "
"182","4.372299","200.57.7.194","200.57.7.204","HTTP","1432","HTTP/1.1 403 Forbidden  (text/html)"
"183","4.375151","200.57.7.204","200.57.7.194","TCP","62","4560  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"184","4.375361","200.57.7.194","200.57.7.204","TCP","62","80  >  4560 [SYN, ACK] Seq=0 Ack=1 Win=17520 Len=0 MSS=1460 SACK_PERM=1"
"185","4.375586","200.57.7.204","200.57.7.194","TCP","60","4560  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"186","4.376607","200.57.7.204","200.57.7.194","TCP","408","4560  >  80 [PSH, ACK] Seq=1 Ack=1 Win=17520 Len=354 [TCP segment of a reassembled PDU]"
"187","4.376786","200.57.7.204","200.57.7.194","HTTP","214","POST /cems/applets/serviceRouter HTTP/1.1  (application/x-www-form-urlencoded)"
"188","4.376981","200.57.7.194","200.57.7.204","HTTP","79","HTTP/1.1 100 Continue "
"189","4.379698","200.57.7.194","200.57.7.197","SNMP","165","get-request 1.3.6.1.4.1.2858.100.40.1.2.0 1.3.6.1.4.1.2858.100.40.1.3.0 1.3.6.1.4.1.2858.100.40.1.1.0 1.3.6.1.4.1.2858.100.40.3.5.0"
"190","4.394883","200.57.7.197","200.57.7.194","SNMP","148","get-response 1.3.6.1.4.1.2858.100.40.1.2.0 1.3.6.1.4.1.2858.100.40.1.3.0 1.3.6.1.4.1.2858.100.40.1.1.0 1.3.6.1.4.1.2858.100.40.3.5.0"
"191","4.395455","200.57.7.194","200.57.7.197","SNMP","197","get-request 1.3.6.1.4.1.2858.100.40.1.4.1.1.1 1.3.6.1.4.1.2858.100.40.1.4.1.2.1 1.3.6.1.4.1.2858.100.40.1.4.1.3.1 1.3.6.1.4.1.2858.100.40.1.4.1.4.1 1.3.6.1.4.1.2858.100.40.1.4.1.5.1"
"192","4.414021","200.57.7.197","200.57.7.194","SNMP","177","get-response 1.3.6.1.4.1.2858.100.40.1.4.1.1.1 1.3.6.1.4.1.2858.100.40.1.4.1.2.1 1.3.6.1.4.1.2858.100.40.1.4.1.3.1 1.3.6.1.4.1.2858.100.40.1.4.1.4.1 1.3.6.1.4.1.2858.100.40.1.4.1.5.1"
"193","4.414598","200.57.7.194","200.57.7.197","SNMP","197","get-request 1.3.6.1.4.1.2858.100.40.1.4.1.1.2 1.3.6.1.4.1.2858.100.40.1.4.1.2.2 1.3.6.1.4.1.2858.100.40.1.4.1.3.2 1.3.6.1.4.1.2858.100.40.1.4.1.4.2 1.3.6.1.4.1.2858.100.40.1.4.1.5.2"
